Season,Team,Points,Place,GS,GA,GD,Wins,Losses,Ties
1928,FC Barcelona,36,1,37,23,14,11,4,3
1928,Real Madrid,34,2,40,27,13,11,6,1
1928,Real Sociedad,28,3,46,41,5,8,6,4
1928,Athletic Bilbao,28,4,43,33,10,8,6,4
1928,Arenas de Getxo,27,5,32,39,-7,8,7,3
1928,Atletico Madrid,26,6,43,41,2,8,8,2
1928,Espanyol Barcelona,25,7,32,38,-6,7,7,4
1928,CE Europa,22,8,45,49,-4,6,8,4
1928,Real Union,17,9,40,42,-2,5,11,2
1928,Racing Santander,12,10,25,50,-25,3,12,3
1929,Athletic Bilbao,42,1,63,28,35,12,0,6
1929,FC Barcelona,34,2,46,36,10,11,6,1
1929,Arenas de Getxo,29,3,51,40,11,9,7,2
1929,Espanyol Barcelona,29,4,40,33,7,9,7,2
1929,Real Madrid,24,5,45,42,3,7,8,3
1929,Real Union,23,6,48,52,-4,6,7,5
1929,Racing Santander,21,7,32,58,-26,7,11,0
1929,CE Europa,19,8,29,44,-15,6,11,1
1929,Real Sociedad,19,9,34,37,-3,5,9,4
1929,Atletico Madrid,17,10,32,50,-18,5,11,2
1930,Athletic Bilbao,33,1,73,33,40,11,7,0
1930,Racing Santander,32,2,49,37,12,10,6,2
1930,Real Sociedad,32,3,42,39,3,10,6,2
1930,FC Barcelona,28,4,40,43,-3,7,4,7
1930,Arenas de Getxo,26,5,35,38,-3,8,8,2
1930,Real Madrid,25,6,24,27,-3,7,7,4
1930,Real Union,22,7,41,45,-4,6,8,4
1930,Espanyol Barcelona,20,8,32,45,-13,6,10,2
1930,CD Alaves,19,9,25,39,-14,5,9,4
1930,CE Europa,19,10,23,38,-15,6,11,1
1931,Real Madrid,38,1,37,15,22,10,0,8
1931,Athletic Bilbao,36,2,47,23,24,11,4,3
1931,FC Barcelona,34,3,40,26,14,10,4,4
1931,Racing Santander,27,4,36,35,1,7,5,6
1931,Arenas de Getxo,24,5,35,42,-7,7,8,3
1931,Espanyol Barcelona,22,6,34,39,-5,7,10,1
1931,Valencia CF,21,7,38,47,-9,6,9,3
1931,Real Sociedad,21,8,38,35,3,7,11,0
1931,CD Alaves,16,9,22,44,-22,5,12,1
1931,Real Union,15,10,24,45,-21,4,11,3
1932,Real Madrid,41,1,49,17,32,13,3,2
1932,Athletic Bilbao,39,2,63,30,33,13,5,0
1932,Espanyol Barcelona,32,3,33,30,3,10,6,2
1932,FC Barcelona,26,4,42,34,8,7,6,5
1932,Real Betis,23,5,31,45,-14,6,7,5
1932,Real Sociedad,21,6,41,47,-6,6,9,3
1932,Racing Santander,20,7,47,58,-11,6,10,2
1932,Arenas de Getxo,19,8,39,44,-5,5,9,4
1932,CD Alaves,17,9,21,42,-21,5,11,2
1932,Valencia CF,17,10,34,53,-19,4,9,5
1933,Athletic Bilbao,35,1,61,27,34,11,5,2
1933,Real Madrid,32,2,41,29,12,10,6,2
1933,Real Betis,28,3,29,36,-7,9,8,1
1933,Racing Santander,28,4,38,39,-1,9,8,1
1933,Real Oviedo,26,5,51,45,6,8,8,2
1933,Real Sociedad,25,6,29,33,-4,7,7,4
1933,Espanyol Barcelona,24,7,41,42,-1,7,8,3
1933,Valencia CF,24,8,28,38,-10,7,8,3
1933,FC Barcelona,24,9,42,40,2,8,10,0
1933,Arenas de Getxo,13,10,18,49,-31,3,11,4
1934,Real Madrid,49,1,61,34,27,16,5,1
1934,Real Betis,49,2,43,19,24,15,3,4
1934,Real Oviedo,38,3,60,47,13,12,8,2
1934,Athletic Bilbao,36,4,60,37,23,11,8,3
1934,Sevilla FC,35,5,53,38,15,11,9,2
1934,FC Barcelona,33,6,55,44,11,9,7,6
1934,Valencia CF,29,7,40,49,-9,9,11,2
1934,Atletico Madrid,29,8,40,45,-5,8,9,5
1934,Espanyol Barcelona,29,9,47,59,-12,9,11,2
1934,Racing Santander,24,10,37,46,-9,7,12,3
1934,Real Sociedad,16,11,28,67,-39,5,16,1
1934,Arenas de Getxo,12,12,17,56,-39,3,16,3
1935,Athletic Bilbao,45,1,59,33,26,14,5,3
1935,Real Madrid,42,2,62,35,27,13,6,3
1935,Real Oviedo,40,3,63,47,16,12,6,4
1935,Racing Santander,40,4,58,46,12,13,8,1
1935,Hercules CF,35,5,37,41,-4,11,9,2
1935,FC Barcelona,35,6,39,32,7,11,9,2
1935,Real Betis,29,7,31,46,-15,9,11,2
1935,Valencia CF,26,8,36,42,-6,7,10,5
1935,Espanyol Barcelona,25,9,36,53,-17,8,13,1
1935,Sevilla FC,22,10,27,48,-21,6,12,4
1935,Atletico Madrid,21,11,34,50,-16,6,13,3
1935,CA Osasuna,21,12,46,55,-9,7,15,0
1939,Atletico Madrid,43,1,43,29,14,14,7,1
1939,Sevilla FC,39,2,60,44,16,11,5,6
1939,Athletic Bilbao,37,3,57,44,13,11,7,4
1939,Real Madrid,37,4,47,35,12,12,9,1
1939,Espanyol Barcelona,35,5,43,43,0,11,9,2
1939,Hercules CF,32,6,41,34,7,9,8,5
1939,Valencia CF,30,7,40,36,4,9,10,3
1939,Real Zaragoza,28,8,30,40,-10,7,8,7
1939,Celta Vigo,28,9,45,50,-5,9,12,1
1939,FC Barcelona,27,10,32,38,-6,8,11,3
1939,Real Betis,22,11,26,51,-25,6,12,4
1939,Racing Santander,19,12,37,57,-20,6,15,1
1940,Atletico Madrid,46,1,70,36,34,13,2,7
1940,Athletic Bilbao,44,2,49,24,25,13,4,5
1940,FC Barcelona,40,3,55,45,10,13,8,1
1940,Sevilla FC,38,4,70,43,27,12,8,2
1940,Valencia CF,38,5,60,52,8,11,6,5
1940,Real Madrid,35,6,51,38,13,11,9,2
1940,Espanyol Barcelona,32,7,50,54,-4,10,10,2
1940,Hercules CF,23,8,28,67,-39,7,13,2
1940,Real Oviedo,23,9,36,63,-27,7,13,2
1940,Celta Vigo,22,10,45,51,-6,7,14,1
1940,Real Zaragoza,19,11,26,41,-15,5,13,4
1940,Real Murcia,18,12,29,55,-26,5,14,3
1941,Valencia CF,58,1,85,39,46,18,4,4
1941,Atletico Madrid,47,2,50,44,6,14,7,5
1941,Real Madrid,47,3,65,43,22,14,7,5
1941,Deportivo La Coruna,40,4,36,37,-1,12,10,4
1941,Celta Vigo,39,5,53,58,-5,11,9,6
1941,Athletic Bilbao,37,6,55,41,14,10,9,7
1941,Sevilla FC,37,7,58,45,13,10,9,7
1941,CD Castellon,36,8,54,63,-9,10,10,6
1941,Espanyol Barcelona,36,9,49,42,7,10,10,6
1941,Granada CF,35,10,64,52,12,10,11,5
1941,Real Oviedo,31,11,42,63,-21,8,11,7
1941,FC Barcelona,27,12,57,66,-9,8,15,3
1941,Hercules CF,23,13,42,71,-29,6,15,5
1941,Real Sociedad,17,14,31,77,-46,5,19,2
1942,Athletic Bilbao,52,1,73,38,35,16,6,4
1942,Sevilla FC,48,2,63,47,16,15,8,3
1942,FC Barcelona,46,3,77,50,27,14,8,4
1942,Celta Vigo,44,4,52,50,2,14,10,2
1942,CD Castellon,44,5,41,43,-2,13,8,5
1942,Real Oviedo,40,6,53,63,-10,12,10,4
1942,Atletico Madrid,38,7,54,44,10,11,10,5
1942,Valencia CF,37,8,58,45,13,10,9,7
1942,Real Madrid,35,9,52,50,2,10,11,5
1942,Espanyol Barcelona,33,10,45,51,-6,9,11,6
1942,Deportivo La Coruna,33,11,35,32,3,7,7,12
1942,Granada CF,31,12,56,68,-12,9,13,4
1942,Real Zaragoza,15,13,25,57,-32,2,15,9
1942,Real Betis,12,14,28,74,-46,2,18,6
1943,Valencia CF,58,1,73,32,41,18,4,4
1943,Atletico Madrid,49,2,66,49,17,15,7,4
1943,Sevilla FC,44,3,60,46,14,12,6,8
1943,CD Castellon,42,4,42,36,6,13,10,3
1943,Real Oviedo,41,5,71,47,24,12,9,5
1943,Real Madrid,39,6,48,38,10,11,9,6
1943,FC Barcelona,38,7,59,46,13,10,8,8
1943,CE Sabadell,36,8,53,60,-7,11,12,3
1943,Granada CF,35,9,41,46,-5,9,9,8
1943,Athletic Bilbao,35,10,47,51,-4,10,11,5
1943,Espanyol Barcelona,32,11,42,50,-8,9,12,5
1943,Deportivo La Coruna,25,12,35,64,-29,6,13,7
1943,Real Sociedad,22,13,34,54,-20,5,14,7
1943,Celta Vigo,11,14,23,75,-52,2,19,5
1944,FC Barcelona,56,1,50,30,20,17,4,5
1944,Real Madrid,56,2,68,35,33,18,6,2
1944,Athletic Bilbao,44,3,54,41,13,14,10,2
1944,Atletico Madrid,44,4,46,41,5,13,8,5
1944,Real Oviedo,44,5,50,48,2,13,8,5
1944,Valencia CF,42,6,61,35,26,12,8,6
1944,CD Castellon,34,7,43,50,-7,10,12,4
1944,Espanyol Barcelona,33,8,44,39,5,10,13,3
1944,Sporting Gijon,33,9,42,46,-4,9,11,6
1944,Sevilla FC,31,10,52,49,3,9,13,4
1944,Real Murcia,26,11,40,58,-18,7,14,5
1944,Granada CF,26,12,40,55,-15,7,14,5
1944,CE Sabadell,23,13,30,67,-37,6,15,5
1944,Deportivo La Coruna,22,14,36,62,-26,5,14,7
1945,Sevilla FC,50,1,53,37,16,14,4,8
1945,FC Barcelona,49,2,48,31,17,14,5,7
1945,Athletic Bilbao,47,3,63,38,25,14,7,5
1945,Real Madrid,42,4,46,30,16,11,6,9
1945,Real Oviedo,40,5,44,37,7,10,6,10
1945,Valencia CF,37,6,44,36,8,9,7,10
1945,CD Castellon,37,7,38,54,-16,11,11,4
1945,Atletico Madrid,36,8,50,48,2,10,10,6
1945,Sporting Gijon,34,9,37,39,-2,9,10,7
1945,Celta Vigo,30,10,57,56,1,9,14,3
1945,CD Alcoyano,26,11,39,54,-15,7,14,5
1945,Real Murcia,25,12,21,39,-18,5,11,10
1945,Espanyol Barcelona,25,13,41,53,-12,6,13,7
1945,Hercules CF,20,14,30,59,-29,5,16,5
1946,Valencia CF,50,1,54,34,20,16,8,2
1946,Athletic Bilbao,49,2,72,38,34,15,7,4
1946,Atletico Madrid,45,3,58,44,14,13,7,6
1946,FC Barcelona,45,4,59,42,17,14,9,3
1946,Sevilla FC,41,5,54,48,6,12,9,5
1946,CE Sabadell,41,6,42,36,6,11,7,8
1946,Real Madrid,38,7,62,56,6,11,10,5
1946,Real Oviedo,37,8,52,42,10,10,9,7
1946,Celta Vigo,37,9,53,48,5,11,11,4
1946,Sporting Gijon,35,10,51,59,-8,10,11,5
1946,Espanyol Barcelona,28,11,46,59,-13,9,16,1
1946,Real Murcia,25,12,30,58,-28,6,13,7
1946,Deportivo La Coruna,23,13,32,60,-28,5,13,8
1946,CD Castellon,17,14,39,80,-41,4,17,5
1947,FC Barcelona,52,1,65,31,34,15,4,7
1947,Valencia CF,49,2,59,34,25,15,7,4
1947,Atletico Madrid,46,3,73,45,28,13,6,7
1947,Celta Vigo,45,4,59,48,11,14,9,3
1947,Sevilla FC,41,5,50,40,10,12,9,5
1947,Athletic Bilbao,40,6,56,44,12,12,10,4
1947,Gimnastic,34,7,49,55,-6,10,12,4
1947,Espanyol Barcelona,33,8,39,47,-8,9,11,6
1947,Real Oviedo,32,9,49,57,-8,9,12,5
1947,CD Alcoyano,31,10,40,52,-12,9,13,4
1947,CE Sabadell,30,11,41,62,-21,9,14,3
1947,Real Madrid,28,12,41,56,-15,7,12,7
1947,Real Sociedad,27,13,38,56,-18,8,15,3
1947,Sporting Gijon,25,14,37,69,-32,7,15,4
1948,FC Barcelona,53,1,66,36,30,16,5,5
1948,Valencia CF,51,2,78,47,31,16,7,3
1948,Atletico Madrid,49,3,54,32,22,15,7,4
1948,Real Madrid,49,4,67,42,25,15,7,4
1948,Real Oviedo,43,5,50,43,7,13,9,4
1948,Athletic Bilbao,35,6,61,63,-2,11,13,2
1948,Sevilla FC,34,7,35,40,-5,11,14,1
1948,Espanyol Barcelona,34,8,51,46,5,10,12,4
1948,Gimnastic,33,9,59,72,-13,10,13,3
1948,Real Valladolid,32,10,38,59,-21,10,14,2
1948,Celta Vigo,31,11,51,64,-13,9,13,4
1948,Deportivo La Coruna,31,12,56,60,-4,9,13,4
1948,CD Alcoyano,29,13,30,54,-24,8,13,5
1948,CE Sabadell,18,14,43,81,-38,5,18,3
1949,Atletico Madrid,48,1,71,51,20,15,8,3
1949,Deportivo La Coruna,44,2,48,38,10,12,6,8
1949,Valencia CF,43,3,71,43,28,12,7,7
1949,Real Madrid,42,4,60,49,11,11,6,9
1949,FC Barcelona,42,5,67,47,20,13,10,3
1949,Athletic Bilbao,41,6,72,66,6,12,9,5
1949,Celta Vigo,41,7,63,50,13,13,11,2
1949,Real Sociedad,36,8,57,43,14,9,8,9
1949,Sevilla FC,36,9,60,61,-1,11,12,3
1949,Real Valladolid,33,10,49,46,3,8,9,9
1949,Espanyol Barcelona,30,11,42,64,-22,8,12,6
1949,CD Malaga,29,12,44,51,-7,8,13,5
1949,Gimnastic,23,13,39,99,-60,7,17,2
1949,Real Oviedo,19,14,30,65,-35,4,15,7
1950,Atletico Madrid,57,1,87,50,37,17,7,6
1950,Sevilla FC,55,2,79,46,33,17,9,4
1950,Valencia CF,54,3,64,48,16,17,10,3
1950,FC Barcelona,51,4,83,61,22,16,11,3
1950,Real Sociedad,50,5,77,56,21,15,10,5
1950,Athletic Bilbao,48,6,88,56,32,15,12,3
1950,Celta Vigo,48,7,62,56,6,15,12,3
1950,Real Valladolid,47,8,51,51,0,14,11,5
1950,Real Madrid,44,9,80,71,9,13,12,5
1950,Deportivo La Coruna,43,10,64,47,17,13,13,4
1950,Espanyol Barcelona,43,11,82,72,10,13,13,4
1950,Racing Santander,42,12,49,60,-11,12,12,6
1950,CD Malaga,41,13,55,52,3,12,13,5
1950,Real Murcia,27,14,40,86,-46,8,19,3
1950,CD Alcoyano,20,15,36,92,-56,6,22,2
1950,UE Lleida,19,16,41,134,-93,6,23,1
1951,FC Barcelona,62,1,92,43,49,19,6,5
1951,Athletic Bilbao,57,2,78,46,32,17,7,6
1951,Real Madrid,54,3,79,50,29,16,8,6
1951,Atletico Madrid,53,4,80,57,23,16,9,5
1951,Valencia CF,50,5,68,51,17,15,10,5
1951,Espanyol Barcelona,46,6,69,62,7,14,12,4
1951,Sevilla FC,46,7,69,57,12,14,12,4
1951,Celta Vigo,39,8,64,66,-2,12,15,3
1951,Real Valladolid,38,9,47,43,4,9,10,11
1951,Real Sociedad,37,10,60,59,1,11,15,4
1951,Deportivo La Coruna,35,11,46,70,-24,10,15,5
1951,Sporting Gijon,35,12,49,75,-26,10,15,5
1951,Real Zaragoza,35,13,54,73,-19,10,15,5
1951,Racing Santander,34,14,45,65,-20,9,14,7
1951,UD Las Palmas,31,15,36,85,-49,9,17,4
1951,Atletico Tetuan,26,16,51,85,-34,7,18,5
1952,FC Barcelona,61,1,82,43,39,19,7,4
1952,Real Madrid,57,2,67,49,18,18,9,3
1952,Valencia CF,56,3,66,42,24,16,6,8
1952,Espanyol Barcelona,52,4,64,40,24,16,10,4
1952,Sevilla FC,50,5,70,57,13,16,12,2
1952,Athletic Bilbao,46,6,83,52,31,14,12,4
1952,Atletico Madrid,43,7,65,70,-5,13,13,4
1952,Sporting Gijon,41,8,39,54,-15,11,11,8
1952,Real Oviedo,41,9,63,62,1,12,13,5
1952,Real Sociedad,38,10,54,61,-7,10,12,8
1952,Racing Santander,38,11,46,61,-15,11,14,5
1952,Celta Vigo,35,12,54,69,-15,10,15,5
1952,Real Valladolid,35,13,48,54,-6,10,15,5
1952,Deportivo La Coruna,33,14,49,78,-29,9,15,6
1952,CD Malaga,32,15,47,69,-22,10,18,2
1952,Real Zaragoza,23,16,38,74,-36,6,19,5
1953,Real Madrid,57,1,72,41,31,17,7,6
1953,FC Barcelona,52,2,74,39,35,16,10,4
1953,Espanyol Barcelona,48,3,50,36,14,14,10,6
1953,Valencia CF,48,4,69,51,18,14,10,6
1953,Sevilla FC,47,5,57,49,8,15,13,2
1953,Athletic Bilbao,44,6,54,44,10,12,10,8
1953,Deportivo La Coruna,44,7,41,46,-5,13,12,5
1953,Racing Santander,43,8,53,61,-8,12,11,7
1953,Celta Vigo,41,9,47,54,-7,12,13,5
1953,Real Valladolid,41,10,50,60,-10,12,13,5
1953,Real Sociedad,40,11,44,58,-14,11,12,7
1953,CA Osasuna,40,12,46,54,-8,12,14,4
1953,Atletico Madrid,40,13,57,47,10,11,12,7
1953,Real Jaen,39,14,55,70,-15,11,13,6
1953,Real Oviedo,30,15,31,53,-22,8,16,6
1953,Sporting Gijon,23,16,44,81,-37,7,21,2
1954,Real Madrid,66,1,80,31,49,20,4,6
1954,FC Barcelona,58,2,75,39,36,17,6,7
1954,Athletic Bilbao,54,3,78,39,39,15,6,9
1954,Sevilla FC,49,4,74,58,16,15,11,4
1954,Valencia CF,48,5,71,60,11,15,12,3
1954,Deportivo La Coruna,42,6,52,59,-7,12,12,6
1954,Hercules CF,42,7,46,57,-11,11,10,9
1954,Atletico Madrid,40,8,59,64,-5,11,12,7
1954,Real Valladolid,38,9,48,56,-8,11,14,5
1954,CD Alaves,38,10,51,62,-11,11,14,5
1954,UD Las Palmas,37,11,45,69,-24,10,13,7
1954,Celta Vigo,37,12,55,60,-5,10,13,7
1954,Espanyol Barcelona,34,13,42,46,-4,8,12,10
1954,Real Sociedad,33,14,48,53,-5,9,15,6
1954,Racing Santander,29,15,39,81,-42,9,19,2
1954,CD Malaga,25,16,36,65,-29,6,17,7
1955,Athletic Bilbao,70,1,79,31,48,22,4,4
1955,FC Barcelona,69,2,67,26,41,22,5,3
1955,Real Madrid,56,3,81,39,42,18,10,2
1955,Sevilla FC,53,4,75,44,31,17,11,2
1955,Atletico Madrid,47,5,75,49,26,14,11,5
1955,Espanyol Barcelona,45,6,50,56,-6,14,13,3
1955,Valencia CF,45,7,58,50,8,13,11,6
1955,Real Valladolid,43,8,52,55,-3,13,13,4
1955,Real Sociedad,41,9,48,53,-5,11,11,8
1955,Celta Vigo,39,10,52,75,-23,12,15,3
1955,UD Las Palmas,37,11,49,60,-11,11,15,4
1955,Deportivo La Coruna,37,12,60,80,-20,11,15,4
1955,Real Murcia,35,13,46,66,-20,10,15,5
1955,CD Alaves,33,14,49,73,-24,9,15,6
1955,CD Leonesa,19,15,34,65,-31,5,21,4
1955,Hercules CF,18,16,33,86,-53,5,22,3
1956,Real Madrid,64,1,74,35,39,20,6,4
1956,Sevilla FC,56,2,64,49,15,17,8,5
1956,FC Barcelona,55,3,70,37,33,16,7,7
1956,Athletic Bilbao,53,4,59,45,14,16,9,5
1956,Atletico Madrid,49,5,65,45,20,15,11,4
1956,CA Osasuna,43,6,40,38,2,12,11,7
1956,Espanyol Barcelona,41,7,39,48,-9,11,11,8
1956,Real Zaragoza,39,8,37,51,-14,11,13,6
1956,Real Valladolid,39,9,52,58,-6,11,13,6
1956,Valencia CF,37,10,43,46,-3,10,13,7
1956,UD Las Palmas,36,11,41,58,-17,9,12,9
1956,Real Sociedad,35,12,39,47,-8,9,13,8
1956,Deportivo La Coruna,32,13,41,61,-20,10,18,2
1956,Real Jaen,32,14,37,55,-18,9,16,5
1956,Celta Vigo,31,15,39,47,-8,8,15,7
1956,CD Condal,29,16,37,57,-20,7,15,8
1957,Real Madrid,65,1,71,26,45,20,5,5
1957,Atletico Madrid,58,2,78,43,35,16,4,10
1957,FC Barcelona,55,3,69,38,31,17,9,4
1957,CA Osasuna,50,4,53,43,10,15,10,5
1957,Valencia CF,49,5,56,40,16,13,7,10
1957,Athletic Bilbao,46,6,56,48,8,14,12,4
1957,Celta Vigo,45,7,50,51,-1,13,11,6
1957,Espanyol Barcelona,39,8,48,46,2,11,13,6
1957,Real Sociedad,37,9,38,44,-6,10,13,7
1957,Granada CF,35,10,35,53,-18,11,17,2
1957,Sporting Gijon,34,11,46,57,-11,10,16,4
1957,UD Las Palmas,34,12,34,65,-31,9,14,7
1957,Sevilla FC,34,13,45,55,-10,9,14,7
1957,Real Valladolid,32,14,45,73,-28,9,16,5
1957,Real Zaragoza,32,15,39,52,-13,8,14,8
1957,Real Jaen,29,16,29,58,-29,9,19,2
1958,FC Barcelona,75,1,96,26,70,24,3,3
1958,Real Madrid,68,2,89,29,60,21,4,5
1958,Athletic Bilbao,53,3,72,33,39,17,11,2
1958,Real Betis,46,4,54,53,1,14,12,4
1958,Valencia CF,46,5,47,41,6,13,10,7
1958,Atletico Madrid,45,6,58,48,10,13,11,6
1958,Real Zaragoza,40,7,47,60,-13,12,14,4
1958,CA Osasuna,40,8,44,59,-15,12,14,4
1958,Espanyol Barcelona,40,9,42,45,-3,11,12,7
1958,Sevilla FC,38,10,44,58,-14,12,16,2
1958,Real Oviedo,38,11,31,49,-18,11,14,5
1958,Real Sociedad,37,12,32,33,-1,9,11,10
1958,Granada CF,37,13,30,43,-13,11,15,4
1958,UD Las Palmas,34,14,43,69,-26,10,16,4
1958,Sporting Gijon,27,15,25,70,-45,7,17,6
1958,Celta Vigo,17,16,21,59,-38,4,21,5
1959,FC Barcelona,68,1,86,28,58,22,6,2
1959,Real Madrid,67,2,92,36,56,21,5,4
1959,Athletic Bilbao,58,3,74,45,29,19,10,1
1959,Sevilla FC,52,4,63,44,19,16,10,4
1959,Atletico Madrid,48,5,59,40,19,15,12,3
1959,Real Betis,48,6,42,53,-11,15,12,3
1959,Real Oviedo,46,7,38,51,-13,13,10,7
1959,Espanyol Barcelona,41,8,33,29,4,11,11,8
1959,Valencia CF,39,9,37,33,4,11,13,6
1959,Elche CF,38,10,41,64,-23,11,14,5
1959,Real Valladolid,36,11,48,61,-13,11,16,3
1959,Granada CF,35,12,38,52,-14,10,15,5
1959,Real Zaragoza,35,13,49,58,-9,10,15,5
1959,Real Sociedad,33,14,41,61,-20,10,17,3
1959,CA Osasuna,26,15,42,75,-33,8,20,2
